id;name;calories;carbohydrates;proteins;fat;sodium
1;withdrawal;12265;11403;70843;52835;45506
2;clicks-and-mortar website;99454;32213;46600;67613;7854
3;Personal Movies;35524;14654;41106;97026;83920
4;Intranet Computer Wooden;39532;30419;99987;55388;96833
5;microchip SCSI indexing;81841;44889;84560;3437;8158
6;connecting;49553;93848;94911;39921;53400
7;compressing Liaison archive;21671;8799;81885;44432;43151
8;haptic Buckinghamshire;93443;509;51697;79407;81669
9;Palau bypassing;59797;16872;24117;41997;75413
10;auxiliary Small;76999;49900;11787;81273;63701
